George Washington
John Adams, Federalist
Thomas Jefferson, The Other Republican Party
James Madison, The Other Republican Party
James Monroe, The Other Republican Party
John Quincy Adams, The Other Republican Party
Andrew Jackson, Democrat
Martin Van Buren, Democrat
William Henry Harrison, Whig
John Tyler, Whig
James K. Polk, Democrat
Zachary Taylor, Whig
Millard Fillmore, Whig
Franklin Pierce, Democrat
James Buchanan, Democrat
Abraham Lincoln, Republican
Andrew Johnson
Ulysses S. Grant, Republican
Rutherford B. Hayes, Republican
James A. Garfield, Republican
Chester A. Arthur, Republican
Grover Cleveland, Democrat, true
Benjamin Harrison, Republican
William McKinley, Republican
Teddy Roosevelt, Republican
Howard Taft, Republican
Woodrow Wilson, Democrat
Warren Harding, Republican
Calvin Coolidge, Republican
Herbert Hoover, Republican
Franklin Delano Roosevelt, Democrat
Harry S. Truman, Democrat
Dwight Eisenhower, Republican
John F. Kennedy, Democrat
Lyndon Johnson, Democrat
Richard Nixon, Republican
Gerald Ford, Republican
Jimmy Carter, Democrat
Ronald Reagan, Republican
George Bush, Republican
Bill Clinton, Democrat
George W. Bush, Republican
Barack Obama, Democrat
Donald Trump, Republican
